x ,	 y, 	 r 
243 , 287 , 6934331025.0
244 , 287 , 3287464860.9375
245 , 287 , 4164826865.625
271 , 287 , 4164826865.625
272 , 287 , 3287464860.9375
273 , 287 , 6934331025.0
274 , 287 , 6934331025.0
275 , 287 , 6934331025.0
276 , 287 , 3287464860.9375
277 , 287 , 4164826865.625
308 , 287 , 803367618.75
309 , 287 , 1860430275.0
310 , 287 , 1469317092.1875
311 , 287 , 1057062656.25
312 , 287 , 623666967.1875
239 , 288 , 5285313281.25
240 , 288 , 4164826865.625
241 , 288 , 8498783756.25
242 , 288 , 8498783756.25
243 , 288 , 8498783756.25
244 , 288 , 4164826865.625
245 , 288 , 5285313281.25
271 , 288 , 5285313281.25
272 , 288 , 4164826865.625
273 , 288 , 8498783756.25
274 , 288 , 8498783756.25
275 , 288 , 8498783756.25
276 , 288 , 4164826865.625
277 , 288 , 5285313281.25
98 , 302 , 1099345162.5
99 , 302 , 3498877392.1875
100 , 302 , 5877268368.75
101 , 302 , 4164826865.625
102 , 302 , 5285313281.25
239 , 302 , 5285313281.25
240 , 302 , 4164826865.625
241 , 302 , 5877268368.75
242 , 302 , 3498877392.1875
243 , 302 , 1099345162.5
97 , 303 , 803367618.75
98 , 303 , 2706080400.0
99 , 303 , 5084471376.5625
100 , 303 , 7441721100.0
101 , 303 , 4492516289.0625
102 , 303 , 4164826865.625
239 , 303 , 4164826865.625
240 , 303 , 4492516289.0625
241 , 303 , 7441721100.0
242 , 303 , 5084471376.5625
243 , 303 , 2706080400.0
244 , 303 , 803367618.75
97 , 304 , 1860430275.0
98 , 304 , 5877268368.75
99 , 304 , 9555846412.5
100 , 304 , 13149859443.75
101 , 304 , 7441721100.0
102 , 304 , 5877268368.75
239 , 304 , 5877268368.75
240 , 304 , 7441721100.0
241 , 304 , 13149859443.75
242 , 304 , 9555846412.5
243 , 304 , 5877268368.75
244 , 304 , 1860430275.0
97 , 305 , 1469317092.1875
98 , 305 , 4228250625.0
99 , 305 , 6934331025.0
100 , 305 , 9555846412.5
101 , 305 , 5084471376.5625
102 , 305 , 3498877392.1875
239 , 305 , 3498877392.1875
240 , 305 , 5084471376.5625
241 , 305 , 9555846412.5
242 , 305 , 6934331025.0
243 , 305 , 4228250625.0
244 , 305 , 1469317092.1875
97 , 306 , 1057062656.25
98 , 306 , 2494667868.75
